id,message_id,content,user_id,session_id,reply_to_message_id,created_at
16,MLfXx7jCg0tEr0wDdNCy4qBO6jSiSZlY,Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test. Ceci est un test.,1,3,,2024-06-10 17:09:30.760183
17,diZRMUgiHi58DzuhadkNnqlv_PmRfGUt,Cool.,1,3,,2024-06-10 17:09:37.467676
18,MG-Up6793ssFMOpC89A_O3ONC7CnF8li,Salut,4,4,,2024-06-11 14:01:46.302223
19,TJPtKRmqVDjneS3kCRPp4hzJWFmYxwYK,Hello,4,4,,2024-06-11 14:01:59.621435
20,_eJXBJjmCQWddhHe4BioR8NwIPrq0tu0,Bonjour,4,6,,2024-06-19 09:18:13.300423
21,tSq_kKkgbEMP626Ql73WxGf3APNOWX77,Bonjour,4,7,,2024-06-24 10:20:50.628603
22,tSq_kKkgbEMP626Ql73WxGf3APNOWX77,Bonjour monsieur,4,7,,2024-06-24 10:21:43.640964
23,0ADjOk2IxZl3Btwj6wmFQkIlnAW6Beeh,Bonjour,4,8,,2024-06-25 15:50:02.188018
24,-TQM-2ydjFtoVqWHSHGtBnQ9t1m9zvrA,Bonjour !,8,8,,2024-06-25 15:51:16.875345
25,yPeGZVRRlO0PYK08xGZF_ipR9ngdhBKR,Voici ce ce ça donne,4,8,,2024-06-25 15:51:19.322534
26,yPeGZVRRlO0PYK08xGZF_ipR9ngdhBKR,Voici ce que ça donne,4,8,,2024-06-25 15:51:28.121526
27,LQDxouw20PleJdlzq-nEFSFh6jh2vPvd,Comment allez-vous?,8,8,,2024-06-25 15:54:52.509298
28,BM-Zx9XSQCN4y7-vFPs06EVWADI-kiUA,Et maintenant ?,4,8,,2024-06-25 15:55:03.954202
29,bbiTWxijPc9_GQkUKsHMEPP4aNZDQe33,Ceci est un test,4,8,,2024-06-25 15:57:16.752166
30,BqJ0gSAvdrkOuZ0LWkPsmzT8yN6kOrxf,Salut Victoria!,10,9,,2024-06-27 11:02:14.811101
31,h8U0j0oHFHfAqCvCEAHOzw4O-jqxqXnK,(il faut trop que je change mon avatar...),10,9,,2024-06-27 11:02:30.683377
32,vVG8Qmnp4ZJ4aDKYQRNNv6N0VGr1VIpy,Hello Lucie !,8,9,,2024-06-27 11:05:07.065077
33,5X0CNhsunCdyXPZqYp5yeF3COB7GG1H_,"Oui, je viens justement de le faire moi :)",8,9,,2024-06-27 11:05:11.642417
34,dLWXTnzvZ2ssZxUhDIzocwq20Jia-1CX,ah parfait!,10,9,,2024-06-27 11:05:48.873179
35,7YjUlkVX0YlJNeZ3vx4pqlmDpi_eaoak,Tu as déjà complété le formulaire sur LanguaLab?,8,9,,2024-06-27 11:06:35.728827
36,BfXfNrbzxHoAeKAWEHHC-z6N8o2XHrts,J'ai un message qui s'affiche au-dessus mais je ne l'ai pasencore fait,8,9,,2024-06-27 11:06:46.553202
37,BfXfNrbzxHoAeKAWEHHC-z6N8o2XHrts,J'ai un message qui s'affiche au-dessus mais je ne l'ai pas encore fait,8,9,,2024-06-27 11:06:53.197658
38,2mmrcs_j53hdZ4lfcLHy0PLmcQXACJGU,"oui, normalement😄",10,9,,2024-06-27 11:07:22.982731
39,7YjUlkVX0YlJNeZ3vx4pqlmDpi_eaoak,Tu as déjà complété le formulaire sur LanguageLab?,8,9,,2024-06-27 11:07:37.750159
40,nCW2-fOFUDkyV8DqqhrWgtSg5EDbeOYz,"Si j'ai bien compris, il fallait seulement rentrer ses disponibilités et un lien vers cal",10,9,,2024-06-27 11:08:23.378351
41,kd_TsQvnWXke-dac8Yo6PVtoF422twub,"Ah oki merci, alors je l'ai fait aussi !",8,9,,2024-06-27 11:08:40.620164
42,vaotBA73o2TCCi0VslBFnEiSCi7NLWT3,"Ça me parait bien comme plateforme, c'est similaire à ce qu'on connait je trouve !",8,9,,2024-06-27 11:09:28.062093
43,NLEzD6l3XopsTPIT4cUzsauMD0-rwu-u,"oui, c'est assez intuitif",10,9,,2024-06-27 11:09:48.894034
44,6facxH9eiJdLSqPBzy7Zfh0kjLtLXHzZ,Je vois bien ta photo 🤪,8,9,,2024-06-27 11:10:39.106782
45,uUH1nRfjrYs73-0gwyiwaKTwGAFKURnC,c'est toujours le truc brun ou autre chose? parce que je suis en train de la changer😁,10,9,,2024-06-27 11:11:11.321263
46,3w227KeQxl8-KnRFnWq5YWRXU87UDLk4,Non c'est une photo de toi que je vois maintenant !,8,9,,2024-06-27 11:11:42.559313
47,6ane9xmmOw_m2fc0DyFB-bBGiICho4lu,Tu as reçu tes résultats des examens ? Ou c'est demain aussi ? 😊,8,9,,2024-06-27 11:12:05.074716
48,Upyqts2e9TVF2cVLp-3WX2i8XdIAu8bb,ah parfait! et tu arrives à modifier les messages que j'envoie? j'essaie chez toi mais ça ne fonctionne pas,10,9,,2024-06-27 11:12:12.870727
49,Tt1_7IfSsdeBLk0RUSSWd7iZ3qsUovQA,"Non, la fonctionnalité du feedback n'est pas encore disponible !",8,9,,2024-06-27 11:12:33.453020
50,LoUHuzcL5ouzPB9qZvIJmvKOqujrcPYk,ah oki,10,9,,2024-06-27 11:12:39.211520
51,SXgmq1TVdb8H7a_uRCMFmyW0HmCQyav0,Donc on ne sait pas surligner dans les messages de l'autre et annoter pour le moment !,8,9,,2024-06-27 11:12:43.503701
52,w37S1Zfj3DllC2-9_pSHATmWXiqM_2wq,Mais par contre on sait modifier ses propres messages !,8,9,,2024-06-27 11:12:56.572647
53,RPON8AviYV1Xsj3RmGPy00gFHPvE5gIL,Si on fait une faute ou quoi ahha,8,9,,2024-06-27 11:13:06.472864
54,tV-rB_qtpFyT_L-pnUAQ5r1UhiaiSDT9,c'est aussi dommage qu'on ne sache pas réagir au message en mettant des pouces ou des trucs comme ça (en mode bien reçu),10,9,,2024-06-27 11:13:16.136915
55,wpqrLjoji488qgyzp7clEtNNgxtk24m5,"Oui, je viens de noter cette remarque figure-toi 😅",8,9,,2024-06-27 11:13:30.735966
56,4mzhXHG9P_qwqRa5LdxT8zEBOSSUzhu-,ou répondre à un message en particulier,10,9,,2024-06-27 11:13:31.227515
57,2a_6ILWqlCOHA2OlVMR4pPUn7cK7lXPv,😃,10,9,,2024-06-27 11:13:39.714275
58,GPRHGGfecHGyw1aMSMBuV510bQ319MpO,"Exactement ! Si on reçoit plusieurs messages, au moins on pourrait séparer notre réponse !",8,9,,2024-06-27 11:13:52.538674
59,FZFTBn4u6uWz0QK5dUDTPvKMYkISyr9l,"oui voilà! pour les points des exams, je pense que je les reçois aussi demain",10,9,,2024-06-27 11:14:18.646949
60,UF6UdNnmWIuwDEj1HY1vPWZn-5W8mDtz,tu en avais beaucoup?,10,9,,2024-06-27 11:14:54.561237
61,c4vjbeeAW28RhbFKudPPzqZDaP8MM36K,"Non, pas vraiment ! Je sais que mes stages sont réussis donc je crois que je dois recevoir 3 - 4 notes maximum des examens ! Et toi ?",8,9,,2024-06-27 11:16:23.193493
62,tex9_gwa9Re_ym68IpfBxZV4i-6JljjJ,juste le mémoire et je pense aussi que ça a été donc pas trop de stress cette fois-ci...,10,9,,2024-06-27 11:16:53.882515
63,Tn6VVabRP1_WpgjQW6UEPR34hrxgu2Gl,Tu as du le défendre ?,8,9,,2024-06-27 11:17:07.545049
64,hI9d8DubIBpjj8l4V7cUw8BYSPImDoQx,oui,10,9,,2024-06-27 11:17:11.151385
65,2LaUU31bX_Uf4Grh31QRwS3l2FZcCdK-,"Je pense que c'est nouveau dans notre fac, moi je n'ai pas du le défendre !",8,9,,2024-06-27 11:17:32.069147
66,YzmIfjIN0HmOCsDqYlHnPMkPx5rDkvuf,"oui, apparemment c'était la première année qu'il (re)faisait ça mais c'était juste cinq minutes histoire de vérifier que c'était bien toi qui l'avait écrit",10,9,,2024-06-27 11:18:13.484794
67,bkbnKuDn_IUSKK1ls1ECBhAYnWaC5D7O,Ah oki je pensais que c'était carrément une présentation avec PWP et tout,8,9,,2024-06-27 11:19:28.535294
68,qCFMlVFVlilxIS20O6frB88O20dlkYcc,"Quand j'ouvre une autre page (je vais le faire à l'instant), tu sais regarder si j'apparais hors ligne (bulle rouge), ou si ça reste",8,9,,2024-06-27 11:19:31.323768
69,fkJzvhM_9Etm6vaR30oVBg961oYv-j-E,"oki, je fais ça",10,9,,2024-06-27 11:19:43.964494
70,b2C18bNXyDFHq5DXo30Mx7IJ5mjUbuAZ,non ça reste bulle verte... et est-ce que dans la page en haut à gauche tu reçois des notifications comme quoi tu viens de recevoir deux messages?,10,9,,2024-06-27 11:20:21.843158
71,lTn2QSQ39siILgpStyb029tIf42MqfqC,Tant mieux pour la bulle! J'ai reçu la notification sur mon pc mais ça vient en bas à droite,8,9,,2024-06-27 11:21:14.650268
72,M9q89WAWeZ_4LdUBCgn82Xl56Iw8At9u,Attends renvoie des messages et je regarde si ça s'affiche aussi en haut à gauche,8,9,,2024-06-27 11:21:24.315978
73,py2SG-0_GkRPayscn9FPqZMnfbEcmX46,comme dans teams alors?,10,9,,2024-06-27 11:21:30.800804
74,DwSv4egYkhFVxiFBMje5i729-WHsF0Nb,"Je t'ai fait une capture d'écran, je vais te l'envoyer sur teams justement pcq ici on ne sait pas s'envoyer de photos",8,9,,2024-06-27 11:22:04.587806
75,7cyj1UTAzF9UbQWk_4DEjBrUkBmNiVgj,bien reçu! tant que ça s'affiche quelque part sur l'écran ça va,10,9,,2024-06-27 11:23:33.659696
76,_ONlDsGa2Jt1uX0E-46YoMJ5B76mwE9h,Oui c'est sûr !,8,9,,2024-06-27 11:23:44.569978
77,FdMR2BUwtGRt4K5DM2aQEC3c8IPEuW3a,et c'est dommage aussi pour les photos🙃,10,9,,2024-06-27 11:24:10.367363
78,nC_nS30hXdiBinSKmt-9YNDfRSUJhO-C,"Je ne sais pas si tu veux encore vérifier autre chose ? Pour moi, on peut stopper là et se reparler plus tard pour voir comment ça modifie la conversation ! Mais je pense que vu que la session immédiate dure longtemps, on pourra se reparler exactement au même endroit, sans recréer de session",8,9,,2024-06-27 11:24:31.554952
79,ngIllKSAwHpAeKR5_zvYF8VFqhZ8x6HV,"Oui, je pense que ça peut être pratique d'envoyer des images !",8,9,,2024-06-27 11:24:43.833994
80,BTD2vmS4G5msJMPjC9DlJj4BD77VeSse,"Et même justement s'il y a un souci, envoyer une capture d'écran etc",8,9,,2024-06-27 11:24:55.799936
81,58kUFvnE3-ZrVI_mJf92fslKLPashe1U,"oui, c'est parfait pour moi, je ne pense pas à autre chose!",10,9,,2024-06-27 11:25:08.165893
82,5nrckLU7LXGNZuxgGiWwp794MaM74Fsu,"Ça marche alors, on fait comme ça 😊",8,9,,2024-06-27 11:25:29.142949
83,9iqEXvOQL8ijRtFEI-f5RegAyISXrFyz,on fixe une heure cet aprem?,10,9,,2024-06-27 11:25:48.455053
84,Xd-h8MNsEPtMV8uxi9dJZWIWYbIZBZEL,est-ce que 14h irait?,10,9,,2024-06-27 11:25:59.088800
85,a23r6X6j_YGgKZfaonXlz6CHMNqWJ4rS,Oui parfait pour moi 14h !,8,9,,2024-06-27 11:26:08.549234
86,4hO0RcGIaHlEx5EHK2zf44SW6XFfHGvH,"cool, à tout à l'heure!",10,9,,2024-06-27 11:26:17.035702
87,8CN6BJWQQ3o8S89xK2X8a-ppRw2WmeZu,Re coucou !,8,9,,2024-06-27 14:01:38.470195
88,wzCLgr9wxVJmqkul_oFk3_wRg7lQu7cW,helloo,10,9,,2024-06-27 14:02:26.295259
89,5-GiBvFPXcvRuXSzswfIJaXrTo7Q4tDD,ah là tu as une bulle rouge,10,9,,2024-06-27 14:02:39.019286
90,m9_PBotzCZxqF6o-Wwfo81AC2oEm-sAl,Ah bizarre j'étais sur LanguageLab mais j'ai ouvert la discussion avec quelqu'un d'autre,8,9,,2024-06-27 14:03:23.625508
91,8i1ZCfowuzyADS28A82ZoHmBke_ThFu7,Du coup ça me met indisponible avec toi,8,9,,2024-06-27 14:03:30.747145
92,tkYllhQB85UuDQvxogfQLlUzi0IOP9HR,ah maintenant elle est verte☺️,10,9,,2024-06-27 14:03:34.277589
93,utWvssAVgVa5bXFlcR1BqFLwVzE4QbUm,Nickel,8,9,,2024-06-27 14:03:51.989243
94,LDCLm3Wmzl9MKD9XyPaZ0cHMxTaoRriF,Je voulais essayer de t'envoyer un lien pour voir si ça fonctionne,8,9,,2024-06-27 14:04:02.413693
95,6TmmUzt-EcjlKk1r4W33KcyNrnFaeTKd,https://youtu.be/SdUN-ogKY60?si=UxKRU7Z8XetmcDKf,8,9,,2024-06-27 14:04:14.670235
96,Ey5yOKWW5iDthJ9oMwBAH76uRbiW9jEe,C'est une vidéo Youtube ahah,8,9,,2024-06-27 14:04:22.100880
97,8_nsjqoroxWBKrIWDVN8aCXJlXuidzNR,j'ai dû la copier-coller pour y avoir accès... la chanson est très sympa😄,10,9,,2024-06-27 14:05:24.216323
98,cZKOl7g77EmtEn1Kb_z-i7zbapUFQpl5,"Oki, mais donc ça fonctionne quand même, c'est déjà ça 🤪",8,9,,2024-06-27 14:06:13.555673
99,d6snBYPw8rRWyVEEZujLAikTDbLP4Wgb,Ahaha oui j'adore !,8,9,,2024-06-27 14:06:16.342479
100,uvVTIA8S0EReaVPYetmiiTQg4TZ_5BuX,oui ça fonctionne bien,10,9,,2024-06-27 14:06:30.403156
101,iLuqfRqcl4yywyKMiXa-po0J_YSZuQA4,"À part le lien, je ne pensais pas vraiment à une autre fonctionnalité à tester pour le moment, je ne sais pas si toi si?",8,9,,2024-06-27 14:06:51.468092
102,42fcfAUrSTd4d7D7mo0cFUoos-bz_u30,là comme ça je pense à rien,10,9,,2024-06-27 14:07:26.437676
103,W4yFNFSIkASKIx2kIl6VN77S0ygY997m,"Demain je ne suis pas disponible, mais du week-end si. Si jamais toi aussi, on pourrait programmer une session pour un autre jour au lieu de faire ""session immédiate"". Le souci c'est qu'on ne peut pas en programmer le week-end je pense, donc plutôt lundi?",8,9,,2024-06-27 14:08:46.615153
104,CrtbsIQhcY6pjfTQaoehPeWrhYgSBJ1f,"Juste pour voir à quoi ça ressemble quand c'est ""réservé""",8,9,,2024-06-27 14:08:58.944287
105,xUU3m-y7dTAQE5TKZPSkKpPkcsC2szno,lundi en après-midi fonctionne pour moi,10,9,,2024-06-27 14:09:18.756902
106,2lK9ty07ALVzzZnjyg_7A6cwpc0vk4qg,"Oki, on peut dire 14h lundi? Si jamais on doit modifier, on se renvoie un petit message sur Teams 😊",8,9,,2024-06-27 14:09:46.156496
107,CxKYEu-yYvhUYiVgx7FGiMcNjjRlAYDY,oki parfait!,10,9,,2024-06-27 14:09:57.331772
108,kr9_BN-Yzlj7VAwlz6Uc7JAxlsZybC1X,Bon après-midi alors et bon week-end à l'avance 😘,8,9,,2024-06-27 14:10:16.812201
109,6zzb-P4NLN02A6CxiVzFlS61wcxDABPK,"Je note ici car ça vient de me traverser l'esprit : tester si, quand je ferme la page LanguageLab, les notifications des messages apparaissent quand même !",8,9,,2024-06-27 14:11:28.966618
110,DV50Dif71DFPZsc_ZvGGB5J_DDXrSvps,Autre test,4,11,,2024-07-12 21:50:01.014950
111,dhwCv1-HPE0yGT--Zt9_fA8s1GwWdXot,"Salut Tyler 😃 Je suis disponible à partir de maintenant pour notre chat de 30 minutes, donc c'est quand tu veux !",8,14,,2024-08-02 15:18:24.801277
112,Z91dbB-5pUIgoifc9dwFvkxttIbAYSTh,"Je ré-éssaie, est-ce que ça fonctionne ? :)",8,15,,2024-08-02 16:00:01.513595
113,WXze92azz1BbOAalgZOpIxA9WND90LNW,Bonjour,1,17,,2024-08-13 10:53:46.181645
114,-23gbi_Vrbl0cynaAHQW1KzPFBSB4aNt,Comment allez-vous ?,1,17,,2024-08-13 10:53:54.987791
115,6tcM9-cicPGn3hAu7gFLL6EOwWrKdfzz,Bonjour,1,18,,2024-08-13 10:55:42.382895
116,IyIS6vvObzBrfA2CS5w2hE_p2GFD4L_q,Comment allez-vous ?,1,18,,2024-08-13 10:55:46.864084
117,cPuJ5pEe8udos7ULxWLiH6qvmCfKM9Xm,Je va bien merci,13,18,,2024-08-13 10:56:00.428867
118,cPuJ5pEe8udos7ULxWLiH6qvmCfKM9Xm,Je vais bien merci,13,18,,2024-08-13 10:56:21.744354
119,bpvBNZcBfx6iI71GcojMy6jRE0Nt3PMU,Coucou Tyler! Tu reçois bien mon message? :),8,19,,2024-08-22 09:59:06.794107
120,Rdwy3hOJFCP09AtimTwFWQwCdqFi_Yhz,"Salut, Victoria! Oui, je peux voir ton message, et je peux aussi écrivre!",12,19,,2024-08-22 10:00:14.437843
121,cj3mRxYB6T_JmsRfWq3kYdNtilwGuuxC,Parfait alors! Comment tu vas?,8,19,,2024-08-22 10:00:30.336280
122,SNIsL6pb0uL10pHpDLOACpmexmefr6dH,"Ça va bien, merci. Mes jambes sont un peu (sore?) parce que j'ai travaillé beaucoup hier, mais autre je me sens bien. Et toi?",12,19,,2024-08-22 10:01:58.001839
123,j2Go0Hz1oL4xL9SkqQE2riNgYh4kcG8j,"Douloureuses :) Moi ça va, un peu fatiguée car je reviens de vacances en Écosse donc on a fait beaucoup de randonnées!",8,19,,2024-08-22 10:02:39.594446
124,pSbB-GUwje0eqxuY11JnxBcZc5fGT1xq,Tu travailles où?,8,19,,2024-08-22 10:02:44.719006
125,E97Crw_2UyeyAHe4wGloKp1eB542IU4x,"Pour le moment, je ne sais pas encore modifier tes messages pour corriger les petites fautes! Tu préfères que je te renvoie chaque fois un message pour t'indiquer les erreurs, ou pas spécialement?",8,19,,2024-08-22 10:03:17.965991
126,yvlCGLLbjGDKllychhsAP0TJqwco0Gvi,Oo wauw! Où est Écosse?,12,19,,2024-08-22 10:03:31.043393
127,H0a6Y0_rc2cHisFmMx4tZB17qpcl48w0,"On a fait un roadtrip :) On est passé par Glencoe, Ullapool, Bettyhill, Balmoral (j'ai d'ailleurs vu le roi Charles!!)",8,19,,2024-08-22 10:04:27.910020
128,5YcqnTr_8xR8Za0toENUNynjZbW38y6f,"Je travaille à l'université, mais hier j'ai fait des menage à mon appartement.",12,19,,2024-08-22 10:04:39.856093
129,2ECSwruCFOnsz7fhdfz-r-NtPWdUFyiW,"Ah oui, je comprends!",8,19,,2024-08-22 10:04:57.895319
130,r0X1VKrMFrdvfPRJmhh2-xuhWlgcEDT1,"Oh, tu étais en Angleterre?",12,19,,2024-08-22 10:05:08.194080
131,NdVTEXxa7e754mNpN6RQ5qLu4fNEM6_m,"Pour aujourd'hui, tu préfères une session de 30 minutes ou d'une heure? Je comptais principalement apprendre à se connaitre :)",8,19,,2024-08-22 10:05:29.837888
132,WtvNFLCo6fMhvJplbOxu8sa1qGSJmaBU,"Oui, en Écosse (Scotland) donc au Royaume-Uni!",8,19,,2024-08-22 10:05:52.906393
133,plhlPpnlv_Yad8OxDc0wgMTFP04_bIIr,"On peux essayer 30 minutes, et après-la, si on veux continuer, ça va :)",12,19,,2024-08-22 10:06:52.846461
134,v6AbiCh-WNaNSyejDSJYNob-M6lF_oEs,Ca marche pour moi :),8,19,,2024-08-22 10:07:14.685235
135,PQeky6bRCp0s-HOgEYlTiUj6abDN79Ii,"[If I have a comment on the system in general, I'll write it in English and in brackets, so it can be distinguished from our lesson.]",12,19,,2024-08-22 10:07:33.496202
136,aeUIAtj-Y3FSblvWWQqXOU5mXUXil8XK,[Sounds good!],8,19,,2024-08-22 10:07:53.921561
137,-3tQExWZ8pxIfX06yFafX_XWfpcB7coO,"[So one thing I notice immediately is that I can't 'reply' to your messages, so if we get multiple threads going, it starts to get confusing.]",12,19,,2024-08-22 10:08:05.453013
138,zjgpEKyPqx16qiSiF80ARHGeYMYrPcgm,"N'hésite pas à me poser des questions si tu en as, évidemment!",8,19,,2024-08-22 10:08:13.448825
139,38WJzxqjWjxrr1fHRbgWCxGgzcwtN59l,"[Yes, I have already mentioned it to Serge, I feel the same way!]",8,19,,2024-08-22 10:08:29.698056
140,SU7DHE9Z_E0IqMQw5W8ADvGDM1HMYmVC,[But good to remind him!],8,19,,2024-08-22 10:08:54.270397
141,O5AkZNdEJQSYGIvQUBRZuWBiM6y1RRUo,"[Probably because we're used to Messenger and WhatsApp, where we can react and reply directly to messages haha]",12,19,,2024-08-22 10:09:01.285481
142,I5mseYn9VK356VyAJq6B3NpReapaxwCG,"[I have also told him that it could be great to be able to react with smileys to messages, like the last one you have sent me. I could have just put 👍️. Same, just because we are used to Messenger]",8,19,,2024-08-22 10:10:18.588835
143,7vSlmwboWcPBfOP70KZcjDQcArTxsfnX,"Donc, tu es américain? Tu viens d'où exactement? :)",8,19,,2024-08-22 10:10:49.576479
144,XETkxkjq2uqp6MFb14XEaZ_oRHgKEF5b,"Oké donc, pour les corrigés, si je fais un grand faut, ou un faut de l'étage A1 ou A2, tu me peux corriger, mais un très petit faut ou un faut d'un étage plus haute, ce n'est pas importante?",12,19,,2024-08-22 10:11:17.311262
145,6iRVMe6t4tRd1b7b5lFVCRAJ5BnuCYRE,"Oki, ça marche pour moi! C'est *une faute 🤪",8,19,,2024-08-22 10:12:00.622687
146,x2s3FmKuBc8YPtWWOclDoOsWBDMkSPyz,"Parfait :) Oui, c'est difficile pour moi, le masculin et la feminine (pour quelques mots)",12,19,,2024-08-22 10:12:52.469837
147,RJAeEoy5RQkHvlcdifojD_BAvfqpQDjE,Je comprends bien!! Moi même je me trompe parfois pour certains mots 😅,8,19,,2024-08-22 10:13:24.438347
148,L0-9j1loeFBpotDtAR3BIVNH4gq6Bx7v,"Oui, bonne memoire! Je viens des États Unis, de Wisconsin. Est-ce que tu sais Wisconsin?",12,19,,2024-08-22 10:14:01.967127
149,BPPGB3zGLYZZG4UjN5xjr7GNDIisQ5fI,Je connais juste de nom!,8,19,,2024-08-22 10:14:17.619990
150,26eDNilTwt-y1M-SWPVONJCy_q6b6CHI,"J'ai été aux USA pour la première fois l'année passée, à New-York et à Washington !",8,19,,2024-08-22 10:14:29.997456
151,O7aQ9wOqfqFCtX_jY6M0LWZc9T20u7b4,Tu sais où est Wisconsin?,12,19,,2024-08-22 10:14:41.124395
152,Q7V_OqN64JRAb9g_Sovzgn3icJWb3haA,Non ! Ca se trouve où?,8,19,,2024-08-22 10:14:48.534886
153,1ve3FbJPq0YoKtg3m1tLhngtS3y1b92a,"Oh, New York et Washington! Très different côtes du pays!",12,19,,2024-08-22 10:15:25.356049
154,Go8nbj14GHUEiRWEPbFMv8f92OT8jG7n,"Oui, en fait, mes parents ont des amis qui vivent à Washington. On a été les voir et puis, on a été en voiture jusque NY pour quelques jours ! J'ai adoré !!",8,19,,2024-08-22 10:16:05.682341
155,958vEfpGpdOGVRa5ZFwEdR0tdcg673pt,"Wisconsin est situé au centre-nord du pays, dans le regio 'Great Lakes' ou 'Midwest'.",12,19,,2024-08-22 10:16:27.001684
156,10KplmAXeR3oa7-y4Qy9wzwCOjJSttnW,Assez proche du Canada alors?,8,19,,2024-08-22 10:17:00.339243
157,yAce0U5Vnx-S31sqCK9zTIaKDuL1A5z6,"Allors, tu as vu l'est et l'ouest, et maintentant, tu dois voir le centre!",12,19,,2024-08-22 10:17:24.007491
158,b2E6ajeYYMUSPimg1nUeNwmAGgwqK8hA,"Oui, proche du Canada, au sud du lac Superior",12,19,,2024-08-22 10:17:45.731092
159,5G7mUwzvHJTMrZsWNjYmQmDMIt0FBE5H,"Là où j'ai été, c'était la ville de Washington D.C. ! Mais chez nous, en français, on n'est pas habitués à dire 'D.C.' ahah",8,19,,2024-08-22 10:18:01.905916
160,eqLhzCaHyjnBaQtxWEJJx5dEt4Up1aBc,Et au l'ouest du lac Michigan.,12,19,,2024-08-22 10:18:04.866807
161,pDcuMC-YM8t1iP570Cv70OVfA4WqHu5G,Tu as déjà été au Canada alors?,8,19,,2024-08-22 10:18:08.604056
162,dVCAMJc5OUiaROywWS2k8U_BtT8bOhhQ,"Mon frère habite maintentant à Washington DC, il est militaire et travaille au Pentagon. Il est Major dans l'Army.",12,19,,2024-08-22 10:19:14.195995
163,9O7BLgxusS1HgkEY3dM5VgX9cYILNOYB,"Oh, génial! L'ami de mes parents chez qui on état à Washington est un ancien militaire aussi!",8,19,,2024-08-22 10:19:51.824073
164,9O7BLgxusS1HgkEY3dM5VgX9cYILNOYB,"Oh, génial! L'ami de mes parents chez qui on était à Washington est un ancien militaire aussi!",8,19,,2024-08-22 10:20:04.555379
165,-Za-mIyuS9qgiJNGJaOa9ZoKgzkLyIMB,"Je n'ai pas été au Canada, en fait. Mais mes grand-parents y (allaient?) souvent devant je suis né.",12,19,,2024-08-22 10:20:43.987251
166,2iMNS79zugAKGDrWDuV8hvjUGxj2m65u,"Y allaient souvent oui, parfait!",8,19,,2024-08-22 10:21:01.464766
167,YThVmhsdk52qWq6fy-RF5WXLCspcrmXL,"J'ai vécu 5 mois à Montréal en 2022, je faisais un échange universitaire !",8,19,,2024-08-22 10:21:27.134213
168,UVcVaStaAb7rZk4QFzJg64fs6gVZ6jyF,"Et l'ami de tes parents, travaillait-il au Pentagon aussi?",12,19,,2024-08-22 10:21:46.745480
169,p1OqlsITEDVYK5k1p6bB2SNtIZqHaQCK,"À Montréal, pour le semestre Erasme?",12,19,,2024-08-22 10:22:25.942359
170,Kr45cb7CHcU-2IPtZwK5pMghGOFInlkq,"Il était à la Navy, souvent sur des bateaux. Mais je ne sais pas précisément, car il travaillait pour des affaires ""secrètes"".",8,19,,2024-08-22 10:23:48.892149
171,Af2BxO_hC-dwhngaDeVbjHlqgfL0v7LO,"Il analysait les risques potentiels des ""ennemis"" des USA!",8,19,,2024-08-22 10:24:00.319273
172,98D4CGOsifep2bQXgcLzXmHCW5lvBbiD,Oui pour un Erasmus :),8,19,,2024-08-22 10:24:05.232189
